Kabupaten_Kota,Kecamatan,centroid_latitude,centroid_longitude,industri_terdekat,tipe_industri,jarak_industri_km,industri_terdekat_2,tipe_industri_2,jarak_industri_2_km,industri_terdekat_3,tipe_industri_3,jarak_industri_3_km,industri_relevan_terdekat,tipe_industri_relevan,jarak_industri_relevan_km,relevansi_industri,jumlah_industri_radius_10km,kepadatan_industri,total_relevansi_radius,indeks_dampak_industri,kategori_dampak_industri,kepadatan_penduduk_kecamatan,indeks_pengaruh_urban,penjelasan_kualitas
Lebak,Panggarangan,-6.825321,106.217919,PT Indocement Tunggal Prakarsa (Bayah),Semen,14.62,PLTU Labuan (Banten 2),Pembangkit Listrik,67.53,Pelabuhan Perikanan Karangantu,Perikanan,88.48,PT Indocement Tunggal Prakarsa (Bayah),Semen,14.62,0.6,0,0.0,0.0,1.34,SANGAT RENDAH,200.0,0.85,Kawasan pesisir di Kecamatan Panggarangan diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **200 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (0.85/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**1.34/100**). Industri terdekat (PT Indocement Tunggal Prakarsa (Bayah)) berjarak **14.62 km** — dampak industri terhadap kualitas air sangat minimal.
Lebak,Wanasalam,-6.747551,105.908894,PLTU Labuan (Banten 2),Pembangkit Listrik,43.6,PT Indocement Tunggal Prakarsa (Bayah),Semen,44.83,PT Banten Energy,Energi,78.46,PLTU Labuan (Banten 2),Pembangkit Listrik,43.6,0.7,0,0.0,0.0,0.17,SANGAT RENDAH,400.0,1.61,Kawasan pesisir di Kecamatan Wanasalam diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **400 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (1.61/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.17/100**). Industri terdekat (PLTU Labuan (Banten 2)) berjarak **43.60 km** — dampak industri terhadap kualitas air sangat minimal.
Pandeglang,Carita,-6.279965,105.867597,PLTU Labuan (Banten 2),Pembangkit Listrik,11.03,PT Banten Energy,Energi,28.7,Pelabuhan Ciwandan,Pelabuhan/Logistik,29.09,PLTU Labuan (Banten 2),Pembangkit Listrik,11.03,0.7,0,0.0,0.0,5.1,RENDAH,550.0,18.76,Kawasan pesisir di Kecamatan Carita diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **550 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (18.76/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri **5.10/100** (RENDAH). Industri terdekat adalah PLTU Labuan (Banten 2) (Pembangkit Listrik) berjarak **11.03 km** dengan dampak relatif rendah terhadap kualitas air.
Pandeglang,Cibitung,-6.789494,105.715872,PLTU Labuan (Banten 2),Pembangkit Listrik,48.42,PT Indocement Tunggal Prakarsa (Bayah),Semen,62.67,PT Banten Energy,Energi,87.6,PLTU Labuan (Banten 2),Pembangkit Listrik,48.42,0.7,0,0.0,0.0,0.07,SANGAT RENDAH,120.0,0.94,Kawasan pesisir di Kecamatan Cibitung diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **120 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (0.94/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.07/100**). Industri terdekat (PLTU Labuan (Banten 2)) berjarak **48.42 km** — dampak industri terhadap kualitas air sangat minimal.
Pandeglang,Cigeulis,-6.614356,105.686158,PLTU Labuan (Banten 2),Pembangkit Listrik,31.22,PT Banten Energy,Energi,70.9,Pelabuhan Ciwandan,Pelabuhan/Logistik,71.18,PLTU Labuan (Banten 2),Pembangkit Listrik,31.22,0.7,0,0.0,0.0,0.34,SANGAT RENDAH,200.0,2.75,Kawasan pesisir di Kecamatan Cigeulis diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **200 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (2.75/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.34/100**). Industri terdekat (PLTU Labuan (Banten 2)) berjarak **31.22 km** — dampak industri terhadap kualitas air sangat minimal.
Pandeglang,Cikeusik,-6.771657,105.841175,PLTU Labuan (Banten 2),Pembangkit Listrik,45.18,PT Indocement Tunggal Prakarsa (Bayah),Semen,50.31,PT Banten Energy,Energi,82.14,PLTU Labuan (Banten 2),Pembangkit Listrik,45.18,0.7,0,0.0,0.0,0.12,SANGAT RENDAH,500.0,1.31,Kawasan pesisir di Kecamatan Cikeusik diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **500 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (1.31/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.12/100**). Industri terdekat (PLTU Labuan (Banten 2)) berjarak **45.18 km** — dampak industri terhadap kualitas air sangat minimal.
Pandeglang,Cimanggu,-6.734677,105.63889,PLTU Labuan (Banten 2),Pembangkit Listrik,45.52,PT Indocement Tunggal Prakarsa (Bayah),Semen,72.63,PT Banten Energy,Energi,85.21,PLTU Labuan (Banten 2),Pembangkit Listrik,45.52,0.7,0,0.0,0.0,0.08,SANGAT RENDAH,150.0,1.08,Kawasan pesisir di Kecamatan Cimanggu diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **150 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (1.08/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.08/100**). Industri terdekat (PLTU Labuan (Banten 2)) berjarak **45.52 km** — dampak industri terhadap kualitas air sangat minimal.
Pandeglang,Jiput,-6.324352,105.885376,PLTU Labuan (Banten 2),Pembangkit Listrik,8.77,PT Banten Energy,Energi,32.6,Pelabuhan Ciwandan,Pelabuhan/Logistik,33.22,PLTU Labuan (Banten 2),Pembangkit Listrik,8.77,0.7,1,0.0032,0.7,4.76,SANGAT RENDAH,700.0,18.82,Kawasan pesisir di Kecamatan Jiput diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **700 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (18.82/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**4.76/100**). Industri terdekat (PLTU Labuan (Banten 2)) berjarak **8.77 km** — dampak industri terhadap kualitas air sangat minimal.
Pandeglang,Labuan,-6.372082,105.837597,PLTU Labuan (Banten 2),Pembangkit Listrik,2.27,PT Banten Energy,Energi,39.41,Pelabuhan Ciwandan,Pelabuhan/Logistik,39.85,PLTU Labuan (Banten 2),Pembangkit Listrik,2.27,0.7,1,0.0032,0.7,6.31,RENDAH,1600.0,20.0,"Kawasan pesisir di Kecamatan Labuan diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **1,600 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (20.00/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri **6.31/100** (RENDAH). Industri terdekat adalah PLTU Labuan (Banten 2) (Pembangkit Listrik) berjarak **2.27 km** dengan dampak relatif rendah terhadap kualitas air."
Pandeglang,Pagelaran,-6.427945,105.861,PLTU Labuan (Banten 2),Pembangkit Listrik,8.37,PT Banten Energy,Energi,44.41,Pelabuhan Ciwandan,Pelabuhan/Logistik,45.04,PLTU Labuan (Banten 2),Pembangkit Listrik,8.37,0.7,1,0.0032,0.7,3.5,SANGAT RENDAH,600.0,14.11,Kawasan pesisir di Kecamatan Pagelaran diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **600 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (14.11/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**3.50/100**). Industri terdekat (PLTU Labuan (Banten 2)) berjarak **8.37 km** — dampak industri terhadap kualitas air sangat minimal.
Pandeglang,Panimbang,-6.525599,105.719631,PLTU Labuan (Banten 2),Pembangkit Listrik,20.81,PT Banten Energy,Energi,60.44,Pelabuhan Ciwandan,Pelabuhan/Logistik,60.68,PLTU Labuan (Banten 2),Pembangkit Listrik,20.81,0.7,0,0.0,0.0,0.96,SANGAT RENDAH,300.0,5.43,Kawasan pesisir di Kecamatan Panimbang diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **300 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (5.43/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.96/100**). Industri terdekat (PLTU Labuan (Banten 2)) berjarak **20.81 km** — dampak industri terhadap kualitas air sangat minimal.
Pandeglang,Patia,-6.472552,105.883338,PLTU Labuan (Banten 2),Pembangkit Listrik,13.87,PT Banten Energy,Energi,48.61,Pelabuhan Ciwandan,Pelabuhan/Logistik,49.39,PLTU Labuan (Banten 2),Pembangkit Listrik,13.87,0.7,0,0.0,0.0,2.08,SANGAT RENDAH,350.0,10.3,Kawasan pesisir di Kecamatan Patia diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **350 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (10.30/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**2.08/100**). Industri terdekat (PLTU Labuan (Banten 2)) berjarak **13.87 km** — dampak industri terhadap kualitas air sangat minimal.
Pandeglang,Sobang,-6.593744,105.784749,PLTU Labuan (Banten 2),Pembangkit Listrik,25.59,PT Banten Energy,Energi,64.54,Pelabuhan Ciwandan,Pelabuhan/Logistik,65.08,PLTU Labuan (Banten 2),Pembangkit Listrik,25.59,0.7,0,0.0,0.0,0.61,SANGAT RENDAH,180.0,4.22,Kawasan pesisir di Kecamatan Sobang diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **180 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (4.22/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.61/100**). Industri terdekat (PLTU Labuan (Banten 2)) berjarak **25.59 km** — dampak industri terhadap kualitas air sangat minimal.
Pandeglang,Sukaresmi,-6.500165,105.835129,PLTU Labuan (Banten 2),Pembangkit Listrik,15.04,PT Banten Energy,Energi,52.92,Pelabuhan Ciwandan,Pelabuhan/Logistik,53.53,PLTU Labuan (Banten 2),Pembangkit Listrik,15.04,0.7,0,0.0,0.0,1.75,SANGAT RENDAH,450.0,8.7,Kawasan pesisir di Kecamatan Sukaresmi diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **450 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (8.70/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**1.75/100**). Industri terdekat (PLTU Labuan (Banten 2)) berjarak **15.04 km** — dampak industri terhadap kualitas air sangat minimal.
Pandeglang,Sumur,-6.717118,105.355452,PLTU Labuan (Banten 2),Pembangkit Listrik,64.31,Pelabuhan Ciwandan,Pelabuhan/Logistik,101.07,PT Banten Energy,Energi,101.35,PLTU Labuan (Banten 2),Pembangkit Listrik,64.31,0.7,0,0.0,0.0,0.01,SANGAT RENDAH,90.0,0.3,Kawasan pesisir di Kecamatan Sumur diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **90 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (0.30/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.01/100**). Industri terdekat (PLTU Labuan (Banten 2)) berjarak **64.31 km** — dampak industri terhadap kualitas air sangat minimal.
Serang,Anyar,-6.081831,105.92235,Pelabuhan Ciwandan,Pelabuhan/Logistik,6.67,PT Banten Energy,Energi,7.12,PT Lotte Chemical Indonesia,Kimia,10.85,Pelabuhan Ciwandan,Pelabuhan/Logistik,6.67,0.5,2,0.0064,1.2,24.92,SEDANG,800.0,15.26,Kawasan pesisir di Kecamatan Anyar berada dalam kondisi kelayakan lingkungan **SEDANG**. Terdapat tekanan antropogenik menengah dari pemukiman domestik atau area industri regional. Wilayah ini memiliki kepadatan penduduk **800 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (15.26/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri **24.92/100** (SEDANG) dengan 2 industri dalam radius 10 km. Industri terdekat: Pelabuhan Ciwandan (Pelabuhan/Logistik) berjarak **6.67 km**. Pengaruh industri terhadap kualitas perairan bersifat moderat.
Serang,Bojonegara,-5.958736,106.082028,PT Krakatau Steel,Baja/Logam,9.03,PT Asahimas Chemical,Kimia,9.06,PT Indah Kiat Pulp & Paper (Merak),Pulp & Paper,9.08,PT Krakatau Steel,Baja/Logam,9.03,0.9,4,0.0127,3.3,28.25,SEDANG,950.0,16.95,Kawasan pesisir di Kecamatan Bojonegara berada dalam kondisi kelayakan lingkungan **SEDANG**. Terdapat tekanan antropogenik menengah dari pemukiman domestik atau area industri regional. Wilayah ini memiliki kepadatan penduduk **950 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (16.95/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri **28.25/100** (SEDANG) dengan 4 industri dalam radius 10 km. Industri terdekat: PT Krakatau Steel (Baja/Logam) berjarak **9.03 km**. Pengaruh industri terhadap kualitas perairan bersifat moderat.
